FIPS,State Name,State,2012 Food Insecurity Rate,# of Food Insecure Persons in 2012 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2012 Child Food Insecurity Rate,# of Food Insecure Children in 2012,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2012,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2012,2012 Cost Per Meal,2012 Weighted Annual Food Budget Shortfall,
31,Nebraska,NE,13.4%,"248,100",130%,SNAP,185%,Other Nutrition Program,44.0%,14.6%,41.4%,20.7%,"95,680",62%,39%,$2.57,"$111,715,000",
32,Nevada,NV,16.8%,"464,090",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.3%,0.0%,24.7%,28.1%,"186,380",69%,31%,$2.64,"$214,671,000",
33,New Hampshire,NH,10.9%,"144,290",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",52.9%,0.0%,47.1%,16.2%,"44,440",55%,45%,$2.92,"$73,905,000",
34,New Jersey,NJ,13.0%,"1,151,890",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.0%,0.0%,38.0%,18.5%,"375,240",64%,36%,$2.98,"$600,738,000",
35,New Mexico,NM,18.6%,"387,100",165%,SNAP,185%,Other Nutrition Program,69.3%,5.8%,24.9%,29.2%,"150,390",76%,24%,$2.59,"$175,675,000",
36,New York,NY,14.1%,"2,758,740",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.5%,0.0%,26.5%,21.8%,"927,150",67%,33%,$2.81,"$1,359,183,000",
37,North Carolina,NC,18.6%,"1,813,870",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.2%,0.0%,26.8%,26.7%,"608,850",72%,28%,$2.69,"$854,416,000",
38,North Dakota,ND,7.7%,"54,140",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.8%,0.0%,40.2%,10.6%,"16,350",51%,49%,$2.72,"$25,799,000",
39,Ohio,OH,17.2%,"1,982,170",130%,SNAP,185%,Other Nutrition Program,53.6%,14.1%,32.2%,25.2%,"671,090",67%,33%,$2.50,"$867,931,000",
40,Oklahoma,OK,17.2%,"656,300",130%,SNAP,185%,Other Nutrition Program,52.7%,16.2%,31.1%,25.6%,"239,380",67%,33%,$2.66,"$305,922,000",
41,Oregon,OR,16.7%,"653,000",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",72.0%,0.0%,28.0%,27.3%,"235,410",68%,32%,$2.65,"$302,837,000",
42,Pennsylvania,PA,14.3%,"1,828,730",160%,SNAP,185%,Other Nutrition Program,55.8%,7.6%,36.6%,20.6%,"562,770",66%,34%,$2.75,"$879,686,000",
44,Rhode Island,RI,14.7%,"153,940",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.3%,0.0%,37.7%,21.3%,"46,150",68%,32%,$2.93,"$79,077,000",
45,South Carolina,SC,18.0%,"848,590",130%,SNAP,185%,Other Nutrition Program,55.5%,18.3%,26.2%,26.4%,"284,880",71%,29%,$2.61,"$387,989,000",
46,South Dakota,SD,12.3%,"102,860",130%,SNAP,185%,Other Nutrition Program,45.7%,16.2%,38.1%,18.5%,"37,770",62%,38%,$2.74,"$49,405,000",
47,Tennessee,TN,17.1%,"1,101,800",130%,SNAP,185%,Other Nutrition Program,54.9%,18.6%,26.6%,24.7%,"368,530",73%,27%,$2.77,"$534,330,000",
48,Texas,TX,18.3%,"4,773,850",165%,SNAP,185%,Other Nutrition Program,66.6%,7.3%,26.1%,27.4%,"1,909,470",70%,30%,$2.40,"$2,007,186,000",
49,Utah,UT,15.5%,"443,830",130%,SNAP,185%,Other Nutrition Program,47.0%,17.5%,35.5%,20.7%,"183,320",62%,38%,$2.53,"$196,493,000",
50,Vermont,VT,13.4%,"83,630",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.8%,0.0%,37.2%,19.8%,"24,530",63%,37%,$3.06,"$44,884,000",
51,Virginia,VA,12.1%,"993,530",130%,SNAP,185%,Other Nutrition Program,47.8%,18.3%,33.9%,16.2%,"299,600",62%,38%,$2.86,"$497,973,000",
53,Washington,WA,15.0%,"1,031,460",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.3%,0.0%,32.7%,23.4%,"370,380",63%,37%,$2.69,"$486,204,000",
54,West Virginia,WV,15.0%,"278,280",130%,SNAP,185%,Other Nutrition Program,52.1%,15.3%,32.6%,21.7%,"83,190",68%,32%,$2.59,"$126,468,000",
55,Wisconsin,WI,12.6%,"724,370",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.5%,0.0%,30.5%,20.7%,"273,140",64%,36%,$2.47,"$313,641,000",
56,Wyoming,WY,13.0%,"74,960",130%,SNAP,185%,Other Nutrition Program,41.4%,16.7%,41.9%,19.2%,"26,190",50%,50%,$2.78,"$36,470,000",
