FIPS,State Name,State,2019 Food Insecurity Rate,# of Food Insecure Persons in 2019,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2019 Child Food Insecurity Rate,# of Food Insecure Children in 2019,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2019,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2019,2019 Cost Per Meal,2019 Weighted Annual Food Budget Shortfall
13,Georgia,GA,12.0%,"1,279,310",130%,SNAP,185%,Other Nutrition Program,45.9%,15.0%,39.1%,15.0%,"376,660",70%,30%,$3.04,"$664,862,000"
15,Hawaii,HI,11.5%,"162,220",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",47.8%,,52.2%,18.5%,"55,670",48%,52%,$3.50,"$97,005,000"
16,Idaho,ID,10.0%,"179,580",130%,SNAP,185%,Other Nutrition Program,47.4%,19.3%,33.3%,11.1%,"49,830",75%,25%,$3.07,"$94,193,000"
17,Illinois,IL,9.6%,"1,211,410",165%,SNAP,185%,Other Nutrition Program,58.1%,10.7%,31.2%,12.0%,"337,120",70%,30%,$3.00,"$620,329,000"
18,Indiana,IN,12.4%,"834,530",130%,SNAP,185%,Other Nutrition Program,49.9%,16.4%,33.8%,15.2%,"238,560",74%,26%,$2.74,"$390,646,000"
19,Iowa,IA,9.4%,"297,800",160%,SNAP,185%,Other Nutrition Program,53.0%,4.1%,42.9%,13.1%,"94,260",68%,32%,$2.88,"$146,743,000"
20,Kansas,KS,12.1%,"351,090",130%,SNAP,185%,Other Nutrition Program,41.1%,14.1%,44.7%,17.2%,"120,290",61%,39%,$2.96,"$177,384,000"
21,Kentucky,KY,14.4%,"644,540",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.0%,,31.0%,17.7%,"176,990",70%,30%,$2.75,"$302,792,000"
22,Louisiana,LA,15.5%,"718,360",130%,SNAP,185%,Other Nutrition Program,56.1%,7.5%,36.5%,23.0%,"249,520",68%,32%,$2.97,"$364,715,000"
23,Maine,ME,12.4%,"166,910",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.9%,,43.1%,18.0%,"44,270",60%,40%,$3.71,"$105,832,000"
24,Maryland,MD,10.6%,"640,180",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.8%,,42.2%,14.4%,"192,230",61%,39%,$3.24,"$354,460,000"
25,Massachusetts,MA,8.2%,"566,930",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.0%,,36.0%,9.0%,"121,560",76%,24%,$3.69,"$357,197,000"
26,Michigan,MI,13.0%,"1,299,020",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.1%,,34.9%,14.1%,"302,530",72%,28%,$2.93,"$650,777,000"
27,Minnesota,MN,7.7%,"432,170",165%,SNAP,185%,Other Nutrition Program,58.6%,9.0%,32.4%,10.9%,"141,910",74%,26%,$3.16,"$233,398,000"
28,Mississippi,MS,18.5%,"550,370",130%,SNAP,185%,Other Nutrition Program,54.2%,10.6%,35.2%,22.4%,"156,120",74%,26%,$2.90,"$273,100,000"
29,Missouri,MO,13.2%,"809,680",130%,SNAP,185%,Other Nutrition Program,45.7%,17.3%,36.9%,15.2%,"208,900",66%,34%,$2.96,"$409,972,000"
30,Montana,MT,10.4%,"111,080",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.7%,,39.3%,15.7%,"35,500",61%,39%,$2.95,"$56,049,000"
31,Nebraska,NE,11.7%,"225,580",130%,SNAP,185%,Other Nutrition Program,43.0%,13.5%,43.5%,15.4%,"73,110",63%,37%,$2.90,"$111,822,000"
32,Nevada,NV,12.1%,"373,370",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.9%,,33.1%,18.2%,"125,870",61%,39%,$3.11,"$198,678,000"
33,New Hampshire,NH,8.8%,"119,990",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",46.0%,,54.0%,10.8%,"27,770",55%,45%,$3.48,"$71,451,000"
34,New Jersey,NJ,8.6%,"762,530",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.0%,,38.0%,9.9%,"191,890",81%,19%,$3.41,"$444,703,000"
35,New Mexico,NM,14.2%,"298,030",165%,SNAP,185%,Other Nutrition Program,70.3%,3.2%,26.5%,22.1%,"104,560",68%,32%,$2.95,"$150,238,000"
36,New York,NY,10.7%,"2,090,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.4%,,30.6%,15.7%,"630,860",74%,26%,$3.31,"$1,182,879,000"
37,North Carolina,NC,13.5%,"1,417,440",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.6%,,33.4%,18.2%,"417,240",75%,25%,$2.99,"$724,977,000"
38,North Dakota,ND,6.7%,"51,380",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.5%,,38.5%,9.4%,"16,580",70%,30%,$3.18,"$27,899,000"
39,Ohio,OH,13.2%,"1,547,110",130%,SNAP,185%,Other Nutrition Program,49.2%,13.5%,37.3%,17.4%,"447,350",72%,28%,$2.86,"$757,327,000"
40,Oklahoma,OK,14.7%,"583,570",130%,SNAP,185%,Other Nutrition Program,47.2%,14.7%,38.1%,20.8%,"197,690",66%,34%,$2.89,"$288,155,000"
41,Oregon,OR,11.5%,"486,200",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.3%,,39.7%,14.6%,"126,350",63%,37%,$3.13,"$260,033,000"
42,Pennsylvania,PA,10.6%,"1,353,730",160%,SNAP,185%,Other Nutrition Program,56.6%,9.7%,33.7%,14.7%,"385,880",71%,29%,$3.17,"$733,806,000"
44,Rhode Island,RI,9.5%,"101,100",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",58.8%,,41.2%,14.1%,"28,730",73%,27%,$3.42,"$59,135,000"
45,South Carolina,SC,10.8%,"555,630",130%,SNAP,185%,Other Nutrition Program,54.5%,11.4%,34.1%,14.6%,"162,780",66%,34%,$2.94,"$279,337,000"
46,South Dakota,SD,10.3%,"91,510",130%,SNAP,185%,Other Nutrition Program,46.3%,14.5%,39.2%,15.3%,"32,860",67%,33%,$3.06,"$47,824,000"
47,Tennessee,TN,13.3%,"905,090",130%,SNAP,185%,Other Nutrition Program,51.3%,14.2%,34.6%,15.7%,"237,510",72%,28%,$3.07,"$475,763,000"
48,Texas,TX,14.1%,"4,092,850",165%,SNAP,185%,Other Nutrition Program,61.8%,5.3%,33.0%,19.8%,"1,462,920",67%,33%,$2.68,"$1,872,381,000"
49,Utah,UT,11.1%,"355,550",130%,SNAP,185%,Other Nutrition Program,36.8%,13.8%,49.4%,12.6%,"116,770",53%,47%,$2.94,"$178,573,000"
50,Vermont,VT,11.0%,"68,590",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",53.3%,,46.7%,13.7%,"15,570",55%,45%,$3.60,"$42,174,000"
51,Virginia,VA,9.4%,"799,620",130%,SNAP,185%,Other Nutrition Program,47.2%,11.4%,41.4%,11.4%,"212,370",60%,40%,$3.17,"$433,605,000"
53,Washington,WA,10.4%,"790,050",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.2%,,38.8%,14.0%,"232,080",58%,42%,$3.21,"$433,418,000"
54,West Virginia,WV,13.5%,"242,180",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.5%,,32.5%,18.6%,"66,780",72%,28%,$2.75,"$113,985,000"
55,Wisconsin,WI,9.1%,"530,500",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.9%,,38.1%,14.5%,"183,700",68%,32%,$2.90,"$263,205,000"
56,Wyoming,WY,11.7%,"67,750",130%,SNAP,185%,Other Nutrition Program,40.5%,15.5%,44.0%,14.6%,"19,530",58%,42%,$3.12,"$36,177,000"
