FIPS,State Name,State,2013 Food Insecurity Rate,# of Food Insecure Persons in 2013 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2013 Child Food Insecurity Rate,# of Food Insecure Children in 2013,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2013,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2013,2013 Cost Per Meal,2013 Weighted Annual Food Budget Shortfall,
40,Oklahoma,OK,17.0%,"654,640",130%,SNAP,185%,Other Nutrition Program,52.1%,16.9%,31.0%,26.0%,"242,990",69%,31%,$2.71,"$314,445,000",
41,Oregon,OR,15.8%,"619,040",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",74.5%,0.0%,25.5%,25.9%,"223,480",69%,31%,$2.77,"$303,578,000",
42,Pennsylvania,PA,14.2%,"1,808,660",160%,SNAP,185%,Other Nutrition Program,56.2%,7.6%,36.2%,20.4%,"564,440",67%,33%,$2.79,"$892,571,000",
44,Rhode Island,RI,14.4%,"151,840",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",62.8%,0.0%,37.2%,21.7%,"47,740",71%,29%,$2.88,"$77,449,000",
45,South Carolina,SC,17.1%,"814,560",130%,SNAP,185%,Other Nutrition Program,56.9%,17.5%,25.6%,25.2%,"271,560",72%,28%,$2.64,"$381,318,000",
46,South Dakota,SD,12.4%,"105,120",130%,SNAP,185%,Other Nutrition Program,50.8%,14.2%,35.0%,19.6%,"40,040",65%,35%,$2.79,"$51,928,000",
47,Tennessee,TN,17.1%,"1,107,820",130%,SNAP,185%,Other Nutrition Program,56.1%,17.6%,26.3%,25.4%,"379,780",74%,26%,$2.78,"$545,632,000",
48,Texas,TX,17.6%,"4,653,290",165%,SNAP,185%,Other Nutrition Program,64.5%,5.5%,30.0%,27.4%,"1,899,310",70%,30%,$2.45,"$2,019,234,000",
49,Utah,UT,14.6%,"423,420",130%,SNAP,185%,Other Nutrition Program,46.6%,17.3%,36.1%,20.4%,"179,130",60%,40%,$2.63,"$197,059,000",
50,Vermont,VT,13.6%,"85,010",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.9%,0.0%,36.1%,19.2%,"24,330",65%,35%,$3.13,"$47,139,000",
51,Virginia,VA,11.9%,"982,650",130%,SNAP,185%,Other Nutrition Program,49.4%,17.2%,33.3%,16.8%,"311,410",65%,35%,$2.92,"$508,665,000",
53,Washington,WA,14.6%,"1,017,900",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.3%,0.0%,30.7%,23.1%,"366,450",65%,35%,$2.83,"$509,330,000",
54,West Virginia,WV,15.8%,"292,500",130%,SNAP,185%,Other Nutrition Program,52.0%,14.2%,33.8%,23.3%,"89,880",67%,33%,$2.59,"$133,967,000",
55,Wisconsin,WI,12.4%,"714,000",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.3%,0.0%,29.7%,20.4%,"270,460",67%,33%,$2.56,"$323,421,000",
56,Wyoming,WY,12.8%,"74,470",130%,SNAP,185%,Other Nutrition Program,40.7%,15.4%,43.9%,18.6%,"25,420",54%,46%,$2.92,"$38,447,000",
