FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,2011 Cost Per Meal,2011 Weighted Annual Food Budget Shortfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Hawaii,HI,14.6%,200100,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",52.0%,0.0%,48.0%,23.7%,71020,52%,48%,$2.68,"$87,426,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Idaho,ID,17.3%,274230,130.0%,SNAP,185.0%,Other Nutrition Program,45.8%,23.3%,30.8%,23.0%,96090,67%,33%,$2.63,"$117,579,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Illinois,IL,15.2%,1957450,130.0%,SNAP,185.0%,Other Nutrition Program,50.2%,17.1%,32.8%,22.7%,692100,68%,32%,$2.39,"$762,692,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Indiana,IN,16.3%,1063990,130.0%,SNAP,185.0%,Other Nutrition Program,52.4%,16.9%,30.7%,22.7%,355780,69%,31%,$2.33,"$404,160,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Iowa,IA,12.9%,395620,160.0%,SNAP,185.0%,Other Nutrition Program,53.1%,9.3%,37.7%,19.3%,137120,60%,40%,$2.36,"$152,212,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Kansas,KS,15.1%,433260,130.0%,SNAP,185.0%,Other Nutrition Program,47.1%,18.0%,34.9%,22.6%,160770,67%,33%,$2.51,"$177,289,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kentucky,KY,17.2%,749490,130.0%,SNAP,185.0%,Other Nutrition Program,55.5%,16.6%,27.9%,22.4%,224800,75%,25%,$2.41,"$294,471,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Louisiana,LA,17.1%,784450,130.0%,SNAP,185.0%,Other Nutrition Program,56.4%,16.3%,27.2%,23.5%,259520,70%,30%,$2.60,"$332,505,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Maine,ME,15.7%,208620,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",65.1%,0.0%,34.9%,23.9%,62810,69%,31%,$2.98,"$101,352,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Maryland,MD,13.4%,781200,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",53.5%,0.0%,46.5%,19.0%,251730,57%,43%,$2.75,"$350,231,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Massachusetts,MA,12.3%,809920,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",56.4%,0.0%,43.6%,16.5%,229170,61%,39%,$2.94,"$388,195,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Michigan,MI,17.9%,1769790,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",68.7%,0.0%,31.3%,23.7%,533470,69%,31%,$2.43,"$701,114,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Minnesota,MN,11.4%,607920,165.0%,SNAP,185.0%,Other Nutrition Program,56.6%,7.1%,36.3%,16.6%,209830,65%,35%,$2.56,"$253,715,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mississippi,MS,21.4%,638460,130.0%,SNAP,185.0%,Other Nutrition Program,57.4%,19.4%,23.2%,27.4%,202980,76%,24%,$2.65,"$275,829,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Missouri,MO,17.1%,1029030,130.0%,SNAP,185.0%,Other Nutrition Program,49.4%,20.3%,30.3%,22.5%,312440,68%,32%,$2.45,"$411,012,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Montana,MT,14.9%,149020,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",62.8%,0.0%,37.2%,21.8%,47720,64%,36%,$2.55,"$61,950,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Nebraska,NE,13.7%,252060,130.0%,SNAP,185.0%,Other Nutrition Program,41.4%,17.8%,40.9%,21.0%,94940,62%,38%,$2.45,"$100,677,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Nevada,NV,17.4%,472660,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",67.8%,0.0%,32.2%,28.0%,183360,66%,34%,$2.56,"$197,264,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,New Hampshire,NH,10.6%,139910,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",52.3%,0.0%,47.7%,14.7%,40490,55%,45%,$2.83,"$64,549,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,New Jersey,NJ,14.0%,1230690,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",60.9%,0.0%,39.1%,19.0%,383020,62%,38%,$2.82,"$565,794,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,New Mexico,NM,20.1%,417780,165.0%,SNAP,185.0%,Other Nutrition Program,68.4%,7.3%,24.3%,30.6%,156930,78%,22%,$2.48,"$168,911,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,New York,NY,14.7%,2853190,130.0%,SNAP,185.0%,Other Nutrition Program,53.2%,17.1%,29.7%,22.0%,924970,67%,33%,$2.68,"$1,246,597,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,North Carolina,NC,19.3%,1863330,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",66.9%,0.0%,33.1%,27.3%,618200,71%,29%,$2.59,"$786,774,580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,North Dakota,ND,7.4%,50400,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.2%,0.0%,38.8%,10.2%,15250,61%,39%,$2.56,"$21,034,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ohio,OH,17.8%,2054290,130.0%,SNAP,185.0%,Other Nutrition Program,50.8%,15.7%,33.4%,25.7%,679900,68%,32%,$2.41,"$807,122,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Oklahoma,OK,17.2%,653820,130.0%,SNAP,185.0%,Other Nutrition Program,50.7%,17.6%,31.6%,25.3%,233350,67%,33%,$2.58,"$275,003,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Oregon,OR,17.9%,694050,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",71.5%,0.0%,28.5%,29.1%,245260,66%,34%,$2.59,"$293,056,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pennsylvania,PA,14.9%,1894550,160.0%,SNAP,185.0%,Other Nutrition Program,54.3%,9.0%,36.7%,20.5%,559120,65%,35%,$2.66,"$821,577,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Rhode Island,RI,15.3%,161050,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",60.8%,0.0%,39.2%,22.2%,47780,69%,31%,$2.88,"$75,616,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,South Carolina,SC,18.6%,870210,130.0%,SNAP,185.0%,Other Nutrition Program,54.7%,19.6%,25.8%,27.4%,292800,70%,30%,$2.49,"$353,251,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,South Dakota,SD,12.5%,103180,130.0%,SNAP,185.0%,Other Nutrition Program,45.7%,16.8%,37.6%,18.3%,36110,60%,40%,$2.60,"$43,735,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Tennessee,TN,17.6%,1127190,130.0%,SNAP,185.0%,Other Nutrition Program,53.2%,21.0%,25.8%,25.1%,369020,75%,25%,$2.66,"$488,809,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Texas,TX,18.7%,4812760,165.0%,SNAP,185.0%,Other Nutrition Program,65.4%,8.2%,26.3%,27.6%,1894060,70%,30%,$2.28,"$1,788,915,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Utah,UT,16.7%,471850,130.0%,SNAP,185.0%,Other Nutrition Program,43.2%,18.3%,38.5%,21.4%,186170,58%,42%,$2.37,"$182,311,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Vermont,VT,13.1%,81750,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",62.4%,0.0%,37.6%,19.3%,23670,59%,41%,$2.94,"$39,182,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Virginia,VA,12.7%,1026730,130.0%,SNAP,185.0%,Other Nutrition Program,45.5%,18.0%,36.5%,16.5%,301980,61%,39%,$2.76,"$461,983,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Washington,WA,16.1%,1101490,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",61.1%,0.0%,38.9%,24.3%,375880,65%,35%,$2.64,"$474,073,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,West Virginia,WV,15.3%,283300,130.0%,SNAP,185.0%,Other Nutrition Program,51.0%,17.7%,31.3%,21.8%,82220,66%,34%,$2.55,"$117,773,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Wisconsin,WI,13.0%,744410,200.0%,"SNAP, Other Nutrition Programs",200.0%,"SNAP, Other Nutrition Programs",65.5%,0.0%,34.5%,20.8%,270150,65%,35%,$2.39,"$290,048,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Wyoming,WY,12.0%,68120,130.0%,SNAP,185.0%,Other Nutrition Program,38.5%,22.1%,39.4%,18.0%,23820,57%,43%,$2.67,"$29,651,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
